Date,Treatment,Plant No,# of Berries,Nonexpanded ,Expanded
7/3/2020,A,300,71,1,0
7/3/2020,A,225,42,0,0
7/3/2020,A,84,215,0,6
7/3/2020,A,59,118,0,1
7/3/2020,A,163,198,0,9
7/3/2020,A,31,20,0,0
7/3/2020,A,253,169,0,2
7/3/2020,A,373,29,0,2
7/3/2020,A,353,147,0,1
7/3/2020,A,68,154,0,0
7/3/2020,C,235,69,0,1
7/3/2020,C,190,45,0,3
7/3/2020,C,308,43,0,0
7/3/2020,C,277,94,0,2
7/3/2020,C,61,163,0,0
7/3/2020,C,126,40,0,0
7/3/2020,C,359,20,0,0
7/3/2020,C,229,105,0,1
7/3/2020,D,296,138,0,1
7/3/2020,D,48,67,0,2
7/3/2020,D,54,245,0,5
7/3/2020,D,312,48,0,1
7/3/2020,D,132,64,0,1
7/3/2020,D,113,188,0,3
7/3/2020,D,204,132,0,2
7/3/2020,D,76,185,0,0
7/3/2020,D,287,91,1,1
7/3/2020,D,200,78,1,2
7/3/2020,D,197,188,0,3
7/3/2020,D,211,83,0,2
7/3/2020,D,101,203,1,3
7/3/2020,D,106,212,0,4
7/3/2020,D,49,141,0,4
7/3/2020,D,82,241,1,3
7/3/2020,D,177,60,0,0
7/3/2020,D,167,211,0,2
7/3/2020,D,374,21,0,1
7/3/2020,D,360,184,0,1
7/3/2020,E,207,38,0,0
7/3/2020,E,209,0,0,0
7/3/2020,E,133,9,0,0
7/3/2020,E,254,201,0,0
7/3/2020,E,180,81,0,0
7/3/2020,E,251,0,0,0
7/3/2020,E,194,46,0,0
7/3/2020,E,266,190,0,3
7/3/2020,E,139,96,0,2
7/6/2020,A,8,202,0,2
7/6/2020,A,226,46,0,0
7/6/2020,A,170,129,0,2
7/6/2020,A,87,5,0,0
7/6/2020,A,118,91,0,4
7/6/2020,A,15,79,0,2
7/6/2020,A,162,5,0,0
7/6/2020,A,153,144,0,7
7/6/2020,A,143,28,0,0
7/6/2020,A,231,165,0,3
7/6/2020,A,33,130,0,2
7/6/2020,B,227,163,0,2
7/6/2020,B,272,360,0,4
7/6/2020,B,179,67,0,0
7/6/2020,B,236,65,0,2
7/6/2020,B,249,88,0,3
7/6/2020,B,265,407,2,3
7/6/2020,B,110,83,0,0
7/6/2020,B,93,13,0,0
7/6/2020,B,117,169,0,2
7/6/2020,B,175,0,0,0
7/6/2020,C,378,174,0,0
7/6/2020,C,376,155,0,2
7/6/2020,C,263,87,0,1
7/6/2020,C,370,186,0,4
7/6/2020,C,189,59,2,1
7/6/2020,C,135,3,0,0
7/6/2020,C,341,111,0,1
7/6/2020,D,69,91,0,2
7/6/2020,D,284,440,2,4
7/6/2020,D,6,145,0,2
7/6/2020,D,22,1,0,0
7/6/2020,D,20,398,0,2
7/6/2020,D,5,251,0,0
7/6/2020,D,164,122,0,6
7/6/2020,D,283,321,3,1
7/6/2020,D,343,283,0,8
7/6/2020,D,318,234,0,4
7/6/2020,D,150,53,0,0
7/6/2020,D,102,380,0,4
7/6/2020,D,13,65,0,0
7/6/2020,D,166,7,0,1
7/6/2020,D,342,357,0,3
7/6/2020,D,2,212,0,0
7/6/2020,D,130,145,0,1
7/6/2020,D,259,398,1,3
7/6/2020,E,396,125,0,1
7/6/2020,E,270,235,0,3
7/6/2020,E,121,146,1,1
7/6/2020,E,255,219,0,3
7/6/2020,E,243,318,0,3
7/6/2020,E,196,203,0,1
7/6/2020,E,216,102,0,0
7/6/2020,E,334,266,0,2
7/6/2020,E,134,240,0,1
7/6/2020,E,381,341,0,3
7/7/2020,A,120,36,0,3
7/7/2020,A,160,78,0,0
7/7/2020,A,147,224,0,3
7/7/2020,A,51,57,0,2
7/7/2020,A,237,1,0,1
7/7/2020,A,92,17,0,0
7/7/2020,A,159,64,0,0
7/7/2020,A,172,87,0,0
7/7/2020,C,223,66,0,3
7/7/2020,C,339,30,0,0
7/7/2020,C,252,17,0,0
7/7/2020,C,367,117,0,0
7/7/2020,C,332,5,0,0
7/7/2020,C,362,34,0,0
7/7/2020,D,94,112,0,5
7/7/2020,D,203,215,0,0
7/7/2020,D,385,0,0,0
7/7/2020,D,127,19,0,1
7/7/2020,D,58,111,1,1
7/7/2020,D,314,185,0,4
7/7/2020,D,103,0,0,0
7/7/2020,D,14,207,1,5
7/7/2020,D,388,116,0,3
7/7/2020,D,282,83,0,1
7/7/2020,D,80,17,0,1
7/7/2020,D,131,414,0,2
7/7/2020,D,286,79,1,2
7/7/2020,D,288,122,0,1
7/7/2020,D,258,196,0,2
7/7/2020,E,184,327,0,4
7/7/2020,E,208,462,0,3
7/7/2020,E,264,107,0,23
7/7/2020,E,337,19,0,1
7/7/2020,E,400,37,0,0
7/7/2020,E,276,275,0,8
7/6/2020,A,50,119,1,3
7/6/2020,A,142,80,0,1
7/6/2020,A,171,46,0,0
7/6/2020,A,149,69,0,1
7/6/2020,A,240,130,0,2
7/6/2020,A,89,47,0,0
7/6/2020,A,104,51,1,3
7/6/2020,A,65,47,0,1
7/6/2020,A,145,101,0,0
7/6/2020,A,34,74,1,2
7/6/2020,A,298,71,0,12
7/6/2020,B,112,123,0,2
7/6/2020,B,377,8,0,0
7/6/2020,B,220,25,2,0
7/6/2020,B,273,144,0,2
7/6/2020,B,268,63,0,0
7/6/2020,B,185,168,0,0
7/6/2020,B,108,94,0,3
7/6/2020,B,176,39,0,7
7/6/2020,C,70,225,0,3
7/6/2020,C,95,160,0,1
7/6/2020,C,21,157,0,1
7/6/2020,C,19,116,0,2
7/6/2020,C,16,68,0,0
7/6/2020,C,116,37,0,0
7/6/2020,C,107,36,0,2
7/6/2020,C,75,100,0,2
7/6/2020,C,83,87,0,1
7/6/2020,C,13,1,0,0
7/6/2020,C,324,54,0,0
7/6/2020,C,151,156,0,2
7/6/2020,C,91,89,0,2
7/6/2020,C,25,4,0,0
7/6/2020,C,55,49,0,2
7/6/2020,C,90,104,1,2
7/6/2020,C,271,53,0,1
7/6/2020,D,53,267,1,1
7/6/2020,D,366,145,0,2
7/6/2020,D,369,205,0,8
7/6/2020,D,291,56,0,4
7/6/2020,D,129,61,0,0
7/6/2020,D,52,215,0,1
7/6/2020,D,319,86,0,0
7/6/2020,D,56,184,0,5
7/6/2020,D,316,123,0,0
7/6/2020,D,365,375,0,3
7/6/2020,D,79,18,0,0
7/6/2020,D,11,140,0,1
7/6/2020,D,317,101,0,5
7/6/2020,D,198,75,0,2
7/6/2020,D,29,225,1,4
7/6/2020,D,315,38,0,2
7/6/2020,D,24,154,0,2
7/6/2020,D,363,39,1,0
7/6/2020,D,27,60,0,2
7/6/2020,D,326,172,0,2
7/6/2020,D,165,50,0,1
7/6/2020,D,78,157,1,0
7/6/2020,E,305,114,0,1
7/6/2020,E,394,50,0,0
7/6/2020,E,257,59,0,1
7/6/2020,E,174,327,0,1
7/6/2020,E,289,272,0,2
7/6/2020,E,330,396,0,6
7/6/2020,E,188,325,0,1
7/6/2020,E,303,116,0,0
7/6/2020,E,325,54,0,1
7/6/2020,E,304,111,0,1
7/6/2020,E,136,74,0,2
7/6/2020,E,327,49,0,1
7/6/2020,E,331,290,0,0