Date,Initials,Treatment,myVar,NoMainStems,Stem Height (cm)
8/26/2020,LW,A,300,5,46.5
8/26/2020,LW,A,300,5,54.3
8/26/2020,LW,A,300,5,29.5
8/26/2020,LW,A,300,5,28.3
8/26/2020,LW,A,300,5,14.4
8/26/2020,LW,A,225,3,49.2
8/26/2020,LW,A,225,3,49.1
8/26/2020,LW,A,225,3,80.5
8/26/2020,LW,A,84,4,63.5
8/26/2020,LW,A,84,4,55.1
8/26/2020,LW,A,84,4,89.6
8/26/2020,LW,A,84,4,26.9
8/26/2020,LW,A,59,3,89.5
8/26/2020,LW,A,59,3,67.5
8/26/2020,LW,A,59,3,69.2
8/26/2020,LW,A,163,5,59.6
8/26/2020,LW,A,163,5,77
8/26/2020,LW,A,163,5,57.5
8/26/2020,LW,A,163,5,23.4
8/26/2020,LW,A,163,5,19.4
8/26/2020,LW,A,31,3,41.2
8/26/2020,LW,A,31,3,51.4
8/26/2020,LW,A,31,3,51.5
8/26/2020,LW,A,253,3,15.3
8/26/2020,LW,A,253,3,69.5
8/26/2020,LW,A,253,3,71.6
8/26/2020,LW,A,373,4,32.2
8/26/2020,LW,A,373,4,32.4
8/26/2020,LW,A,373,4,59
8/26/2020,LW,A,373,4,78.5
8/26/2020,LW,A,353,6,65.8
8/26/2020,LW,A,353,6,67.4
8/26/2020,LW,A,353,6,53
8/26/2020,LW,A,353,6,78.5
8/26/2020,LW,A,353,6,79.9
8/26/2020,LW,A,353,6,22.8
8/26/2020,LW,A,68,3,63.5
8/26/2020,LW,A,68,3,64.9
8/26/2020,LW,A,68,3,44.2
8/26/2020,LW,C,235,5,41.3
8/26/2020,LW,C,235,5,42.2
8/26/2020,LW,C,235,5,53.2
8/26/2020,LW,C,235,5,18
8/26/2020,LW,C,235,5,57
8/26/2020,LW,C,190,3,37.5
8/26/2020,LW,C,190,3,29.1
8/26/2020,LW,C,190,3,20.2
8/26/2020,LW,C,308,7,44.5
8/26/2020,LW,C,308,7,28.6
8/26/2020,LW,C,308,7,40.2
8/26/2020,LW,C,308,7,37.4
8/26/2020,LW,C,308,7,56.2
8/26/2020,LW,C,308,7,20.2
8/26/2020,LW,C,308,7,32.8
8/26/2020,LW,C,277,3,54.3
8/26/2020,LW,C,277,3,78.1
8/26/2020,LW,C,277,3,60.8
8/26/2020,LW,C,126,2,38.2
8/26/2020,LW,C,126,2,82.5
8/26/2020,LW,C,359,5,69.5
8/26/2020,LW,C,359,5,20
8/26/2020,LW,C,359,5,50
8/26/2020,LW,C,359,5,42.2
8/26/2020,LW,C,359,5,44.4
8/26/2020,LW,C,229,2,60.2
8/26/2020,LW,C,229,2,53.1
8/26/2020,LW,E,133,2,54.5
8/26/2020,LW,E,133,2,52.9
8/26/2020,LW,E,209,1,39
8/26/2020,LW,E,207,6,53.5
8/26/2020,LW,E,207,6,17.5
8/26/2020,LW,E,207,6,32.4
8/26/2020,LW,E,207,6,36.5
8/26/2020,LW,E,207,6,49.4
8/26/2020,LW,E,207,6,51
8/26/2020,LW,E,139,3,65.5
8/26/2020,LW,E,139,3,59.6
8/26/2020,LW,E,139,3,15
8/26/2020,LW,E,266,5,27.8
8/26/2020,LW,E,266,5,55.5
8/26/2020,LW,E,266,5,52
8/26/2020,LW,E,266,5,60.9
8/26/2020,LW,E,266,5,72.3
8/26/2020,LW,E,194,2,65.5
8/26/2020,LW,E,194,2,17.5
8/26/2020,LW,E,251,3,36.7
8/26/2020,LW,E,251,3,31.9
8/26/2020,LW,E,251,3,25.4
8/26/2020,LW,E,180,1,90.3
8/26/2020,LW,E,254,6,31.6
8/26/2020,LW,E,254,6,17
8/26/2020,LW,E,254,6,35.4
8/26/2020,LW,E,254,6,50.6
8/26/2020,LW,E,254,6,55
8/26/2020,LW,E,254,6,62
8/26/2020,LW,A,226,4,52.2
8/26/2020,LW,A,226,4,24.5
8/26/2020,LW,A,226,4,69.5
8/26/2020,LW,A,226,4,49.8
8/26/2020,LW,A,170,2,60.8
8/26/2020,LW,A,170,2,61.4
8/26/2020,LW,A,87,1,59.6
8/26/2020,LW,A,118,2,41.4
8/26/2020,LW,A,118,2,60.5
8/26/2020,LW,A,15,5,60.6
8/26/2020,LW,A,15,5,12
8/26/2020,LW,A,15,5,57.5
8/26/2020,LW,A,15,5,52.7
8/26/2020,LW,A,15,5,19.3
8/26/2020,LW,A,162,5,52.4
8/26/2020,LW,A,162,5,30.2
8/26/2020,LW,A,162,5,35.4
8/26/2020,LW,A,162,5,46
8/26/2020,LW,A,162,5,26.1
8/26/2020,LW,A,153,3,73.8
8/26/2020,LW,A,153,3,28
8/26/2020,LW,A,153,3,29.2
8/26/2020,LW,A,143,4,27.3
8/26/2020,LW,A,143,4,13.3
8/26/2020,LW,A,143,4,46.2
8/26/2020,LW,A,143,4,41
8/26/2020,LW,A,8,4,30.5
8/26/2020,LW,A,8,4,47.8
8/26/2020,LW,A,8,4,67.3
8/26/2020,LW,A,8,4,67.2
8/26/2020,LW,C,70,4,55.6
8/26/2020,LW,C,70,4,39.3
8/26/2020,LW,C,70,4,91.6
8/26/2020,LW,C,70,4,32.5
8/26/2020,LW,C,95,4,73
8/26/2020,LW,C,95,4,54.1
8/26/2020,LW,C,95,4,36.2
8/26/2020,LW,C,95,4,55.7
8/26/2020,LW,C,21,6,32.4
8/26/2020,LW,C,21,6,25
8/26/2020,LW,C,21,6,80.4
8/26/2020,LW,C,21,6,86.9
8/26/2020,LW,C,21,6,65.5
8/26/2020,LW,C,21,6,9.2
8/26/2020,LW,C,19,4,28.5
8/26/2020,LW,C,19,4,68.6
8/26/2020,LW,C,19,4,79.5
8/26/2020,LW,C,19,4,44.4
8/26/2020,LW,C,16,3,26
8/26/2020,LW,C,16,3,60.3
8/26/2020,LW,C,16,3,89.3
8/26/2020,LW,C,116,3,77.5
8/26/2020,LW,C,116,3,48.5
8/26/2020,LW,C,116,3,46
8/26/2020,LW,C,107,3,69.1
8/26/2020,LW,C,107,3,65.2
8/26/2020,LW,C,107,3,31
8/26/2020,LW,C,75,4,42.2
8/26/2020,LW,C,75,4,47.8
8/26/2020,LW,C,75,4,62.9
8/26/2020,LW,C,75,4,48.1
8/26/2020,LW,C,83,6,27.6
8/26/2020,LW,C,83,6,19
8/26/2020,LW,C,83,6,15.8
8/26/2020,LW,C,83,6,59.1
8/26/2020,LW,C,83,6,30.3
8/26/2020,LW,C,83,6,88.4
8/26/2020,LW,C,13,2,33.5
8/26/2020,LW,C,13,2,46.5
8/26/2020,LW,C,324,4,71.2
8/26/2020,LW,C,324,4,63
8/26/2020,LW,C,324,4,35.3
8/26/2020,LW,C,324,4,68.2
8/26/2020,LW,C,151,3,55.4
8/26/2020,LW,C,151,3,42.3
8/26/2020,LW,C,151,3,80.4
8/26/2020,LW,C,91,2,64
8/26/2020,LW,C,91,2,70.7
8/26/2020,LW,C,25,2,16.5
8/26/2020,LW,C,25,2,45.1
8/28/2020,LW,A,50,3,72.4
8/28/2020,LW,A,50,3,12
8/28/2020,LW,A,50,3,11.4
8/28/2020,LW,A,142,3,44.5
8/28/2020,LW,A,142,3,21
8/28/2020,LW,A,142,3,50.7
8/28/2020,LW,A,171,5,27.2
8/28/2020,LW,A,171,5,67.1
8/28/2020,LW,A,171,5,65.5
8/28/2020,LW,A,171,5,19.4
8/28/2020,LW,A,171,5,48.1
8/28/2020,LW,A,149,7,41.3
8/28/2020,LW,A,149,7,25.2
8/28/2020,LW,A,149,7,40
8/28/2020,LW,A,149,7,14.4
8/28/2020,LW,A,149,7,41.8
8/28/2020,LW,A,149,7,40.8
8/28/2020,LW,A,149,7,66
8/28/2020,LW,A,240,2,64.3
8/28/2020,LW,A,240,2,60.8
8/28/2020,LW,A,89,4,61.9
8/28/2020,LW,A,89,4,50.9
8/28/2020,LW,A,89,4,37.7
8/28/2020,LW,A,89,4,24.8
8/28/2020,LW,A,104,3,53
8/28/2020,LW,A,104,3,58.8
8/28/2020,LW,A,104,3,60.5
8/28/2020,LW,A,65,6,31.2
8/28/2020,LW,A,65,6,30.6
8/28/2020,LW,A,65,6,14.2
8/28/2020,LW,A,65,6,12.5
8/28/2020,LW,A,65,6,38
8/28/2020,LW,A,65,6,31.8
8/28/2020,LW,A,145,4,62.8
8/28/2020,LW,A,145,4,66.7
8/28/2020,LW,A,145,4,62.1
8/28/2020,LW,A,145,4,26.6
8/28/2020,LW,A,34,5,64.5
8/28/2020,LW,A,34,5,68.7
8/28/2020,LW,A,34,5,45.7
8/28/2020,LW,A,34,5,25.4
8/28/2020,LW,A,34,5,18.9
8/28/2020,LW,A,298,4,26.5
8/28/2020,LW,A,298,4,38
8/28/2020,LW,A,298,4,24.5
8/28/2020,LW,A,298,4,68.1
8/28/2020,LW,A,33,5,24
8/28/2020,LW,A,33,5,62.2
8/28/2020,LW,A,33,5,48.2
8/28/2020,LW,A,33,5,82.4
8/28/2020,LW,A,33,5,47.5
8/28/2020,LW,A,231,7,29
8/28/2020,LW,A,231,7,14.8
8/28/2020,LW,A,231,7,15.5
8/28/2020,LW,A,231,7,63.7
8/28/2020,LW,A,231,7,77
8/28/2020,LW,A,231,7,31.8
8/28/2020,LW,A,231,7,27.4
8/28/2020,LW,A,237,5,41.8
8/28/2020,LW,A,237,5,45.3
8/28/2020,LW,A,237,5,28
8/28/2020,LW,A,237,5,39.2
8/28/2020,LW,A,237,5,9.7
8/28/2020,LW,C,378,4,71.5
8/28/2020,LW,C,378,4,61
8/28/2020,LW,C,378,4,25
8/28/2020,LW,C,378,4,46.8
8/28/2020,LW,C,376,4,50.5
8/28/2020,LW,C,376,4,17.4
8/28/2020,LW,C,376,4,79.9
8/28/2020,LW,C,376,4,86.2
8/28/2020,LW,C,263,5,86.5
8/28/2020,LW,C,263,5,42.3
8/28/2020,LW,C,263,5,49.6
8/28/2020,LW,C,263,5,25.8
8/28/2020,LW,C,263,5,67.5
8/28/2020,LW,C,370,3,42.5
8/28/2020,LW,C,370,3,80.8
8/28/2020,LW,C,370,3,80.8
8/28/2020,LW,C,189,5,58.8
8/28/2020,LW,C,189,5,19.5
8/28/2020,LW,C,189,5,45.2
8/28/2020,LW,C,189,5,69.3
8/28/2020,LW,C,189,5,70
8/28/2020,LW,C,135,3,34.2
8/28/2020,LW,C,135,3,57.4
8/28/2020,LW,C,135,3,33.8
8/28/2020,LW,C,341,3,34
8/28/2020,LW,C,341,3,80.4
8/28/2020,LW,C,341,3,61.2
8/28/2020,LW,C,271,3,100
8/28/2020,LW,C,271,3,40.9
8/28/2020,LW,C,271,3,75.5
8/28/2020,LW,C,90,3,37.1
8/28/2020,LW,C,90,3,63.2
8/28/2020,LW,C,90,3,104.7
8/28/2020,LW,C,55,4,17
8/28/2020,LW,C,55,4,99
8/28/2020,LW,C,55,4,79.6
8/28/2020,LW,C,55,4,62.5
8/28/2020,LW,E,305,4,18
8/28/2020,LW,E,305,4,43
8/28/2020,LW,E,305,4,36.3
8/28/2020,LW,E,305,4,87.2
8/28/2020,LW,E,394,3,68.7
8/28/2020,LW,E,394,3,51
8/28/2020,LW,E,394,3,56.6
8/28/2020,LW,E,257,4,50.4
8/28/2020,LW,E,257,4,28.5
8/28/2020,LW,E,257,4,55.5
8/28/2020,LW,E,257,4,27
8/28/2020,LW,E,174,4,56.1
8/28/2020,LW,E,174,4,55
8/28/2020,LW,E,174,4,66.8
8/28/2020,LW,E,174,4,73.5
8/28/2020,LW,E,289,8,56.2
8/28/2020,LW,E,289,8,57.2
8/28/2020,LW,E,289,8,43.6
8/28/2020,LW,E,289,8,52.5
8/28/2020,LW,E,289,8,26.9
8/28/2020,LW,E,289,8,32.8
8/28/2020,LW,E,289,8,53.4
8/28/2020,LW,E,289,8,41.4
8/28/2020,LW,E,330,4,79.2
8/28/2020,LW,E,330,4,29.8
8/28/2020,LW,E,330,4,65.6
8/28/2020,LW,E,330,4,89
8/28/2020,LW,E,188,2,79
8/28/2020,LW,E,188,2,78
8/28/2020,LW,E,303,5,51.1
8/28/2020,LW,E,303,5,85.6
8/28/2020,LW,E,303,5,58.2
8/28/2020,LW,E,303,5,64.5
8/28/2020,LW,E,303,5,61.1
8/28/2020,LW,E,325,4,33.4
8/28/2020,LW,E,325,4,54.2
8/28/2020,LW,E,325,4,88.7
8/28/2020,LW,E,325,4,58.6
8/28/2020,LW,E,304,8,49.5
8/28/2020,LW,E,304,8,30.8
8/28/2020,LW,E,304,8,45.2
8/28/2020,LW,E,304,8,34
8/28/2020,LW,E,304,8,35.1
8/28/2020,LW,E,304,8,47.3
8/28/2020,LW,E,304,8,61.5
8/28/2020,LW,E,304,8,34.5
8/28/2020,LW,E,396,5,53.6
8/28/2020,LW,E,396,5,92.9
8/28/2020,LW,E,396,5,65.9
8/28/2020,LW,E,396,5,51.2
8/28/2020,LW,E,396,5,36.5
8/28/2020,LW,E,270,5,38.2
8/28/2020,LW,E,270,5,106.2
8/28/2020,LW,E,270,5,26
8/28/2020,LW,E,270,5,40.8
8/28/2020,LW,E,270,5,38.7
8/28/2020,LW,E,121,4,52.9
8/28/2020,LW,E,121,4,44.4
8/28/2020,LW,E,121,4,86
8/28/2020,LW,E,121,4,68.1
8/28/2020,LW,E,255,6,74.5
8/28/2020,LW,E,255,6,53.8
8/28/2020,LW,E,255,6,22.5
8/28/2020,LW,E,255,6,55.5
8/28/2020,LW,E,255,6,74.2
8/28/2020,LW,E,255,6,23.1
8/28/2020,LW,E,243,3,61.5
8/28/2020,LW,E,243,3,67.4
8/28/2020,LW,E,243,3,76.9
8/28/2020,LW,E,196,5,30.7
8/28/2020,LW,E,196,5,51
8/28/2020,LW,E,196,5,44.6
8/28/2020,LW,E,196,5,54.4
8/28/2020,LW,E,196,5,53.8